"object"	"Region.Label"	"Sample.Label"
"1"	1	1	1
"2"	2	1	1
"3"	3	1	1
"4"	21	1	1
"5"	22	1	1
"6"	23	1	1
"7"	24	1	1
"8"	59	1	1
"9"	60	1	1
"10"	61	1	1
"11"	62	1	1
"12"	4	1	2
"13"	25	1	2
"14"	26	1	2
"15"	27	1	2
"16"	63	1	2
"17"	64	1	2
"18"	65	1	2
"19"	66	1	2
"20"	67	1	2
"21"	68	1	2
"22"	69	1	2
"23"	70	1	2
"24"	71	1	2
"25"	72	1	2
"26"	73	1	2
"27"	74	1	2
"28"	75	1	2
"29"	76	1	2
"30"	5	1	3
"31"	6	1	3
"32"	28	1	3
"33"	29	1	3
"34"	77	1	3
"35"	78	1	3
"36"	79	1	3
"37"	80	1	3
"38"	81	1	3
"39"	82	1	3
"40"	83	1	3
"41"	84	1	3
"42"	85	1	3
"43"	86	1	3
"44"	87	1	3
"45"	88	1	3
"46"	89	1	3
"47"	90	1	3
"48"	7	1	4
"49"	8	1	4
"50"	30	1	4
"51"	31	1	4
"52"	32	1	4
"53"	33	1	4
"54"	91	1	4
"55"	92	1	4
"56"	93	1	4
"57"	94	1	4
"58"	95	1	4
"59"	96	1	4
"60"	97	1	4
"61"	98	1	4
"62"	99	1	4
"63"	100	1	4
"64"	101	1	4
"65"	102	1	4
"66"	9	1	5
"67"	10	1	5
"68"	11	1	5
"69"	34	1	5
"70"	35	1	5
"71"	36	1	5
"72"	103	1	5
"73"	104	1	5
"74"	105	1	5
"75"	106	1	5
"76"	107	1	5
"77"	108	1	5
"78"	109	1	5
"79"	110	1	5
"80"	111	1	5
"81"	112	1	5
"82"	113	1	5
"83"	12	1	6
"84"	114	1	6
"85"	115	1	6
"86"	116	1	6
"87"	117	1	6
"88"	118	1	6
"89"	13	2	7
"90"	14	2	7
"91"	37	2	7
"92"	38	2	7
"93"	39	2	7
"94"	40	2	7
"95"	41	2	7
"96"	119	2	7
"97"	120	2	7
"98"	121	2	7
"99"	122	2	7
"100"	123	2	7
"101"	124	2	7
"102"	125	2	7
"103"	126	2	7
"104"	127	2	7
"105"	128	2	7
"106"	129	2	7
"107"	130	2	7
"108"	131	2	7
"109"	15	2	8
"110"	16	2	8
"111"	17	2	8
"112"	42	2	8
"113"	43	2	8
"114"	44	2	8
"115"	45	2	8
"116"	46	2	8
"117"	47	2	8
"118"	48	2	8
"119"	132	2	8
"120"	133	2	8
"121"	134	2	8
"122"	135	2	8
"123"	136	2	8
"124"	137	2	8
"125"	138	2	8
"126"	139	2	8
"127"	140	2	8
"128"	141	2	8
"129"	142	2	8
"130"	143	2	8
"131"	144	2	8
"132"	18	2	9
"133"	49	2	9
"134"	50	2	9
"135"	51	2	9
"136"	145	2	9
"137"	146	2	9
"138"	147	2	9
"139"	148	2	9
"140"	149	2	9
"141"	19	2	10
"142"	20	2	10
"143"	52	2	10
"144"	53	2	10
"145"	54	2	10
"146"	150	2	10
"147"	151	2	10
"148"	152	2	10
"149"	153	2	10
"150"	154	2	10
"151"	155	2	10
"152"	156	2	10
"153"	157	2	10
"154"	158	2	10
"155"	159	2	10
"156"	55	2	11
"157"	56	2	11
"158"	57	2	11
"159"	58	2	11
"160"	160	2	11
"161"	161	2	11
"162"	162	2	11
