object	observer	detected	distance	size	sex	exposure	distbegin	distend
1	1	1	2.68	2	1	1	2	3
1	2	0	2.68	2	1	1	2	3
2	1	1	3.33	2	1	0	3	4
2	2	0	3.33	2	1	0	3	4
3	1	1	0.34	1	0	0	0	1
3	2	0	0.34	1	0	0	0	1
4	1	1	2.53	2	1	1	2	3
4	2	0	2.53	2	1	1	2	3
5	1	1	1.46	2	1	0	1	2
5	2	0	1.46	2	1	0	1	2
6	1	1	3.8	7	1	0	3	4
6	2	0	3.8	7	1	0	3	4
7	1	1	3.17	2	1	0	3	4
7	2	0	3.17	2	1	0	3	4
8	1	1	0.36	1	1	0	0	1
8	2	0	0.36	1	1	0	0	1
9	1	1	2.41	4	1	0	2	3
9	2	0	2.41	4	1	0	2	3
10	1	1	3.01	5	1	0	3	4
10	2	0	3.01	5	1	0	3	4
11	1	1	3.57	1	1	1	3	4
11	2	0	3.57	1	1	1	3	4
12	1	1	3.05	4	1	0	3	4
12	2	0	3.05	4	1	0	3	4
13	1	1	0.79	2	0	0	0	1
13	2	0	0.79	2	0	0	0	1
14	1	1	3.11	1	1	0	3	4
14	2	0	3.11	1	1	0	3	4
15	1	1	1.8	3	0	1	1	2
15	2	0	1.8	3	0	1	1	2
16	1	1	1.51	2	1	1	1	2
16	2	0	1.51	2	1	1	1	2
17	1	1	2.11	1	1	1	2	3
17	2	0	2.11	1	1	1	2	3
18	1	1	2.1	1	1	0	2	3
18	2	0	2.1	1	1	0	2	3
19	1	1	0.02	1	1	0	0	1
19	2	0	0.02	1	1	0	0	1
20	1	1	0.11	4	0	0	0	1
20	2	0	0.11	4	0	0	0	1
21	1	0	1.92	6	1	0	1	2
21	2	1	1.92	6	1	0	1	2
22	1	0	1.3	4	0	0	1	2
22	2	1	1.3	4	0	0	1	2
23	1	0	0.73	1	1	0	0	1
23	2	1	0.73	1	1	0	0	1
24	1	0	2.43	1	1	0	2	3
24	2	1	2.43	1	1	0	2	3
25	1	0	0.83	5	0	1	0	1
25	2	1	0.83	5	0	1	0	1
26	1	0	3.83	2	1	1	3	4
26	2	1	3.83	2	1	1	3	4
27	1	0	3.46	4	1	1	3	4
27	2	1	3.46	4	1	1	3	4
28	1	0	3.76	4	1	1	3	4
28	2	1	3.76	4	1	1	3	4
29	1	0	2.98	2	0	1	2	3
29	2	1	2.98	2	0	1	2	3
30	1	0	3.72	3	1	0	3	4
30	2	1	3.72	3	1	0	3	4
31	1	0	1.78	1	0	1	1	2
31	2	1	1.78	1	0	1	1	2
32	1	0	1.83	5	0	0	1	2
32	2	1	1.83	5	0	0	1	2
33	1	0	2.43	3	1	0	2	3
33	2	1	2.43	3	1	0	2	3
34	1	0	3.14	1	1	0	3	4
34	2	1	3.14	1	1	0	3	4
35	1	0	2.3	1	0	1	2	3
35	2	1	2.3	1	0	1	2	3
36	1	0	3.67	4	1	0	3	4
36	2	1	3.67	4	1	0	3	4
37	1	0	2.65	2	1	0	2	3
37	2	1	2.65	2	1	0	2	3
38	1	0	3.84	1	1	1	3	4
38	2	1	3.84	1	1	1	3	4
39	1	0	1.19	5	1	0	1	2
39	2	1	1.19	5	1	0	1	2
40	1	0	1.56	3	1	0	1	2
40	2	1	1.56	3	1	0	1	2
41	1	0	3.15	3	0	1	3	4
41	2	1	3.15	3	0	1	3	4
42	1	0	0.36	2	0	0	0	1
42	2	1	0.36	2	0	0	0	1
43	1	0	2.91	3	1	0	2	3
43	2	1	2.91	3	1	0	2	3
44	1	0	2.41	5	0	0	2	3
44	2	1	2.41	5	0	0	2	3
45	1	0	3.24	4	0	1	3	4
45	2	1	3.24	4	0	1	3	4
46	1	0	2.78	5	0	1	2	3
46	2	1	2.78	5	0	1	2	3
47	1	0	2.85	3	1	1	2	3
47	2	1	2.85	3	1	1	2	3
48	1	0	2.22	4	0	0	2	3
48	2	1	2.22	4	0	0	2	3
49	1	0	0.47	3	0	0	0	1
49	2	1	0.47	3	0	0	0	1
50	1	0	1.79	4	0	0	1	2
50	2	1	1.79	4	0	0	1	2
51	1	0	1.38	2	0	0	1	2
51	2	1	1.38	2	0	0	1	2
52	1	0	1.39	5	0	1	1	2
52	2	1	1.39	5	0	1	1	2
53	1	0	3.65	5	0	1	3	4
53	2	1	3.65	5	0	1	3	4
54	1	0	1.49	4	0	0	1	2
54	2	1	1.49	4	0	0	1	2
55	1	0	1.71	3	1	0	1	2
55	2	1	1.71	3	1	0	1	2
56	1	0	2.41	1	1	1	2	3
56	2	1	2.41	1	1	1	2	3
57	1	0	1.29	1	0	0	1	2
57	2	1	1.29	1	0	0	1	2
58	1	0	2.95	3	1	0	2	3
58	2	1	2.95	3	1	0	2	3
59	1	1	2.19	1	1	1	2	3
59	2	1	2.19	1	1	1	2	3
60	1	1	1.27	3	1	0	1	2
60	2	1	1.27	3	1	0	1	2
61	1	1	0.45	2	1	1	0	1
61	2	1	0.45	2	1	1	0	1
62	1	1	0.66	1	1	1	0	1
62	2	1	0.66	1	1	1	0	1
63	1	1	2.74	5	1	1	2	3
63	2	1	2.74	5	1	1	2	3
64	1	1	2.09	3	0	1	2	3
64	2	1	2.09	3	0	1	2	3
65	1	1	1.38	2	1	1	1	2
65	2	1	1.38	2	1	1	1	2
