"object"	"observer"	"detected"	"distance"	"size"	"sex"	"exposure"
"1"	1	"1"	1	2.68	2	1	1
"21"	1	"2"	0	2.68	2	1	1
"2"	2	"1"	1	3.33	2	1	0
"22"	2	"2"	0	3.33	2	1	0
"3"	3	"1"	1	0.34	1	0	0
"23"	3	"2"	0	0.34	1	0	0
"4"	4	"1"	1	2.53	2	1	1
"24"	4	"2"	0	2.53	2	1	1
"5"	5	"1"	1	1.46	2	1	0
"25"	5	"2"	0	1.46	2	1	0
"6"	6	"1"	1	3.8	7	1	0
"26"	6	"2"	0	3.8	7	1	0
"7"	7	"1"	1	3.17	2	1	0
"27"	7	"2"	0	3.17	2	1	0
"8"	8	"1"	1	0.36	1	1	0
"28"	8	"2"	0	0.36	1	1	0
"9"	9	"1"	1	2.41	4	1	0
"29"	9	"2"	0	2.41	4	1	0
"10"	10	"1"	1	3.01	5	1	0
"30"	10	"2"	0	3.01	5	1	0
"11"	11	"1"	1	3.57	1	1	1
"31"	11	"2"	0	3.57	1	1	1
"12"	12	"1"	1	3.05	4	1	0
"32"	12	"2"	0	3.05	4	1	0
"13"	13	"1"	1	0.79	2	0	0
"33"	13	"2"	0	0.79	2	0	0
"14"	14	"1"	1	3.11	1	1	0
"34"	14	"2"	0	3.11	1	1	0
"15"	15	"1"	1	1.8	3	0	1
"35"	15	"2"	0	1.8	3	0	1
"16"	16	"1"	1	1.51	2	1	1
"36"	16	"2"	0	1.51	2	1	1
"17"	17	"1"	1	2.11	1	1	1
"37"	17	"2"	0	2.11	1	1	1
"18"	18	"1"	1	2.1	1	1	0
"38"	18	"2"	0	2.1	1	1	0
"19"	19	"1"	1	0.02	1	1	0
"39"	19	"2"	0	0.02	1	1	0
"20"	20	"1"	1	0.11	4	0	0
"40"	20	"2"	0	0.11	4	0	0
"41"	21	"1"	0	1.92	6	1	0
"79"	21	"2"	1	1.92	6	1	0
"42"	22	"1"	0	1.3	4	0	0
"80"	22	"2"	1	1.3	4	0	0
"43"	23	"1"	0	0.73	1	1	0
"81"	23	"2"	1	0.73	1	1	0
"44"	24	"1"	0	2.43	1	1	0
"82"	24	"2"	1	2.43	1	1	0
"45"	25	"1"	0	0.83	5	0	1
"83"	25	"2"	1	0.83	5	0	1
"46"	26	"1"	0	3.83	2	1	1
"84"	26	"2"	1	3.83	2	1	1
"47"	27	"1"	0	3.46	4	1	1
"85"	27	"2"	1	3.46	4	1	1
"48"	28	"1"	0	3.76	4	1	1
"86"	28	"2"	1	3.76	4	1	1
"49"	29	"1"	0	2.98	2	0	1
"87"	29	"2"	1	2.98	2	0	1
"50"	30	"1"	0	3.72	3	1	0
"88"	30	"2"	1	3.72	3	1	0
"51"	31	"1"	0	1.78	1	0	1
"89"	31	"2"	1	1.78	1	0	1
"52"	32	"1"	0	1.83	5	0	0
"90"	32	"2"	1	1.83	5	0	0
"53"	33	"1"	0	2.43	3	1	0
"91"	33	"2"	1	2.43	3	1	0
"54"	34	"1"	0	3.14	1	1	0
"92"	34	"2"	1	3.14	1	1	0
"55"	35	"1"	0	2.3	1	0	1
"93"	35	"2"	1	2.3	1	0	1
"56"	36	"1"	0	3.67	4	1	0
"94"	36	"2"	1	3.67	4	1	0
"57"	37	"1"	0	2.65	2	1	0
"95"	37	"2"	1	2.65	2	1	0
"58"	38	"1"	0	3.84	1	1	1
"96"	38	"2"	1	3.84	1	1	1
"59"	39	"1"	0	1.19	5	1	0
"97"	39	"2"	1	1.19	5	1	0
"60"	40	"1"	0	1.56	3	1	0
"98"	40	"2"	1	1.56	3	1	0
"61"	41	"1"	0	3.15	3	0	1
"99"	41	"2"	1	3.15	3	0	1
"62"	42	"1"	0	0.36	2	0	0
"100"	42	"2"	1	0.36	2	0	0
"63"	43	"1"	0	2.91	3	1	0
"101"	43	"2"	1	2.91	3	1	0
"64"	44	"1"	0	2.41	5	0	0
"102"	44	"2"	1	2.41	5	0	0
"65"	45	"1"	0	3.24	4	0	1
"103"	45	"2"	1	3.24	4	0	1
"66"	46	"1"	0	2.78	5	0	1
"104"	46	"2"	1	2.78	5	0	1
"67"	47	"1"	0	2.85	3	1	1
"105"	47	"2"	1	2.85	3	1	1
"68"	48	"1"	0	2.22	4	0	0
"106"	48	"2"	1	2.22	4	0	0
"69"	49	"1"	0	0.47	3	0	0
"107"	49	"2"	1	0.47	3	0	0
"70"	50	"1"	0	1.79	4	0	0
"108"	50	"2"	1	1.79	4	0	0
"71"	51	"1"	0	1.38	2	0	0
"109"	51	"2"	1	1.38	2	0	0
"72"	52	"1"	0	1.39	5	0	1
"110"	52	"2"	1	1.39	5	0	1
"73"	53	"1"	0	3.65	5	0	1
"111"	53	"2"	1	3.65	5	0	1
"74"	54	"1"	0	1.49	4	0	0
"112"	54	"2"	1	1.49	4	0	0
"75"	55	"1"	0	1.71	3	1	0
"113"	55	"2"	1	1.71	3	1	0
"76"	56	"1"	0	2.41	1	1	1
"114"	56	"2"	1	2.41	1	1	1
"77"	57	"1"	0	1.29	1	0	0
"115"	57	"2"	1	1.29	1	0	0
"78"	58	"1"	0	2.95	3	1	0
"116"	58	"2"	1	2.95	3	1	0
"117"	59	"1"	1	2.19	1	1	1
"221"	59	"2"	1	2.19	1	1	1
"118"	60	"1"	1	1.27	3	1	0
"222"	60	"2"	1	1.27	3	1	0
"119"	61	"1"	1	0.45	2	1	1
"223"	61	"2"	1	0.45	2	1	1
"120"	62	"1"	1	0.66	1	1	1
"224"	62	"2"	1	0.66	1	1	1
"121"	63	"1"	1	2.74	5	1	1
"225"	63	"2"	1	2.74	5	1	1
"122"	64	"1"	1	2.09	3	0	1
